time,width,rpm,rpm_sp,torque,hz1,hz1_sp,hz2,hz2_sp,hz3,hz3_sp,hz4,hz4_sp
1674568840.05,11.156000137329102,9.063720703125,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.1,11.28600025177002,9.04083251953125,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.15,11.322999954223633,8.886337280273438,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.2,11.196000099182129,8.892059326171875,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.25,11.13599967956543,8.989334106445312,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.3,11.225000381469727,9.098052978515625,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.35,11.138999938964844,9.035110473632812,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.4,11.204000473022461,8.914947509765625,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.45,11.135000228881836,8.937835693359375,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.5,11.15999984741211,8.937835693359375,9.0,15.847980499267578,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.55,11.178999900817871,8.869171142578125,9.0,16.052833557128906,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.6,11.222000122070312,8.97216796875,9.0,16.052833557128906,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.65,11.192000389099121,8.989334106445312,9.0,16.052833557128906,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.7,11.098999977111816,8.977890014648438,9.0,16.052833557128906,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.75,11.067000389099121,9.04083251953125,9.0,15.812795639038086,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568840.8,11.048999786376953,8.880615234375,9.0,15.812795639038086,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568840.85,11.067999839782715,9.13238525390625,9.0,15.812795639038086,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568840.9,11.029000282287598,9.006500244140625,9.0,15.591850280761719,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568840.95,11.050000190734863,8.94927978515625,9.0,15.591850280761719,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.0,11.116999626159668,8.97216796875,9.0,15.591850280761719,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.05,11.0600004196167,8.886337280273438,9.0,15.591850280761719,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.1,11.11299991607666,9.035110473632812,9.0,15.591850280761719,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568841.15,11.11299991607666,9.029388427734375,9.0,15.591850280761719,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568841.2,11.142999649047852,9.006500244140625,9.0,15.804230690002441,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568841.25,11.159000396728516,8.955001831054688,9.0,15.804230690002441,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.3,11.206999778747559,9.006500244140625,9.0,15.804230690002441,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568841.35,11.140000343322754,8.955001831054688,9.0,15.993861198425293,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568841.4,11.13700008392334,9.13238525390625,9.0,15.993861198425293,252.20999145507812,250.0,250.30999755859375,250.0,249.80999755859375,250.0,250.20999145507812,250.0
1674568841.45,11.196000099182129,8.874893188476562,9.0,15.993861198425293,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.5,11.170000076293945,8.989334106445312,9.0,15.575393676757812,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.55,11.145999908447266,9.063720703125,9.0,15.575393676757812,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.6,11.112000465393066,9.063720703125,9.0,15.575393676757812,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
1674568841.65,11.149999618530273,9.13238525390625,9.0,15.575393676757812,252.1999969482422,250.0,250.3000030517578,250.0,249.8000030517578,250.0,250.1999969482422,250.0
