time,width,rpm,rpm_sp,torque,hz1,hz1_sp,hz2,hz2_sp,hz3,hz3_sp,hz4,hz4_sp
1674561076.05,22.44700050354004,54.714202880859375,55.0,46.86064147949219,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.1,22.44499969482422,54.931640625,55.0,46.86064147949219,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.15,22.408000946044922,54.95452880859375,55.0,46.86064147949219,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.2,22.454999923706055,54.73136901855469,55.0,45.652801513671875,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.25,22.531999588012695,55.33790588378906,55.0,45.652801513671875,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.3,22.496000289916992,54.81719970703125,55.0,45.652801513671875,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.35,22.496999740600586,54.73136901855469,55.0,45.652801513671875,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.4,22.493000030517578,54.80003356933594,55.0,45.652801513671875,239.57000732421875,250.0,245.6699981689453,250.0,250.8699951171875,250.0,250.97000122070312,250.0
1674561076.45,22.513999938964844,54.86869812011719,55.0,45.80799102783203,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.5,22.489999771118164,54.897308349609375,55.0,45.80799102783203,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.55,22.535999298095703,55.22918701171875,55.0,45.270896911621094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.6,22.566999435424805,54.714202880859375,55.0,45.270896911621094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.65,22.562000274658203,54.74853515625,55.0,45.270896911621094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.7,22.566999435424805,55.04035949707031,55.0,45.270896911621094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.75,22.52400016784668,55.446624755859375,55.0,46.19578552246094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.8,22.531999588012695,54.73136901855469,55.0,46.19578552246094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.85,22.56999969482422,55.14335632324219,55.0,46.19578552246094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.9,22.545000076293945,55.126190185546875,55.0,45.78465270996094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561076.95,22.610000610351562,55.21202087402344,55.0,45.78465270996094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.0,22.582000732421875,54.920196533203125,55.0,45.78465270996094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.05,22.5310001373291,54.920196533203125,55.0,45.78465270996094,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.1,22.55500030517578,54.63981628417969,55.0,45.81782150268555,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.15,22.548999786376953,55.194854736328125,55.0,45.81782150268555,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.2,22.597000122070312,55.06324768066406,55.0,45.81782150268555,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.25,22.60300064086914,54.920196533203125,55.0,45.81782150268555,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.3,22.55500030517578,54.80003356933594,55.0,45.81782150268555,239.57000732421875,250.0,245.6699981689453,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.35,22.555999755859375,55.09185791015625,55.0,45.81782150268555,239.57000732421875,250.0,245.47000122070312,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.4,22.57900047302246,55.1605224609375,55.0,45.81782150268555,239.57000732421875,250.0,245.47000122070312,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.45,22.541000366210938,55.286407470703125,55.0,45.81782150268555,239.57000732421875,250.0,245.47000122070312,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.5,22.541000366210938,54.63981628417969,55.0,45.81782150268555,239.57000732421875,250.0,245.47000122070312,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.55,22.577999114990234,55.33790588378906,55.0,45.81782150268555,239.57000732421875,250.0,245.47000122070312,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.6,22.577999114990234,55.40657043457031,55.0,45.81782150268555,239.57000732421875,250.0,245.47000122070312,250.0,250.77000427246094,250.0,250.97000122070312,250.0
1674561077.65,22.538999557495117,55.02891540527344,55.0,45.81782150268555,239.57000732421875,250.0,245.47000122070312,250.0,250.77000427246094,250.0,250.97000122070312,250.0
