time,width,rpm,rpm_sp,torque,hz1,hz1_sp,hz2,hz2_sp,hz3,hz3_sp,hz4,hz4_sp
2022-11-01 19:16:12.100000,4.224999904632568,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.200000,4.2270002365112305,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.300000,4.2270002365112305,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.400000,4.224999904632568,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.500000,4.2230000495910645,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.600000,4.224999904632568,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.700000,4.2230000495910645,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.800000,4.224999904632568,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.43000030517578,230.0,66.02999877929688,230.0
2022-11-01 19:16:12.900000,4.229000091552734,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13,4.224999904632568,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.100000,4.2270002365112305,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.200000,4.2270002365112305,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.300000,4.224999904632568,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.400000,4.2270002365112305,0.0,0.0,0.0,52.93000030517578,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.500000,4.2270002365112305,0.0,0.0,0.0,52.83000183105469,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.600000,4.224999904632568,0.0,0.0,0.0,52.83000183105469,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.700000,4.224999904632568,0.0,0.0,0.0,52.83000183105469,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.800000,4.224999904632568,0.0,0.0,0.0,52.83000183105469,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
2022-11-01 19:16:13.900000,4.224999904632568,0.0,0.0,0.0,52.83000183105469,230.0,65.43000030517578,230.0,69.33000183105469,230.0,66.02999877929688,230.0
